Site ID,M35/1382
Site Name,Pump 4 Potable
Site ID,SampleID,Collection Date,Measurement,Value,Units
"M35/1382","20242339","15-Mar 2024 10:50am","Alkalinity, Total","54.0","g/m3 as CaCO3"
"M35/1382","20242339","15-Mar 2024 10:50am","Bicarbonate","65.000","mg/L  at 25°C"
"M35/1382","20242339","15-Mar 2024 10:50am","Calcium, Dissolved","19.400","mg/L"
"M35/1382","20242339","15-Mar 2024 10:50am","Chloride","3.800","mg/L"
"M35/1382","20242339","15-Mar 2024 10:50am","Conductivity","13.1","mS/m"
"M35/1382","20242339","15-Mar 2024 10:50am","Conductivity (Field)","12.91","mS/m"
"M35/1382","20242339","15-Mar 2024 10:50am","Difference in Ion Balance","3.900","%"
"M35/1382","20242339","15-Mar 2024 10:50am","Dissolved Oxygen","8.380","mg/L"
"M35/1382","20242339","15-Mar 2024 10:50am","Dissolved Oxygen Saturation","81.000","%"
"M35/1382","20242339","15-Mar 2024 10:50am","E. coli","<1","MPN/100mL"
"M35/1382","20242339","15-Mar 2024 10:50am","Hardness, Total","57.000","g/m3 as CaCO3"
"M35/1382","20242339","15-Mar 2024 10:50am","Magnesium, Dissolved","2.200","mg/L"
"M35/1382","20242339","15-Mar 2024 10:50am","Nitrate Nitrogen","0.440","mg/L"
"M35/1382","20242339","15-Mar 2024 10:50am","Oxidation Reduction Potential","274.300","mV"
"M35/1382","20242339","15-Mar 2024 10:50am","pH","7.6",""
"M35/1382","20242339","15-Mar 2024 10:50am","pH (Field)","6.43",""
"M35/1382","20242339","15-Mar 2024 10:50am","Potassium, Dissolved","1.000","mg/L"
"M35/1382","20242339","15-Mar 2024 10:50am","Silica, Reactive","11.600","mg/L  as SiO2"
"M35/1382","20242339","15-Mar 2024 10:50am","Sodium, Dissolved","5.700","mg/L"
"M35/1382","20242339","15-Mar 2024 10:50am","Sulphate","4.800","mg/L"
"M35/1382","20242339","15-Mar 2024 10:50am","Sum of anions","1.310","meq/L"
"M35/1382","20242339","15-Mar 2024 10:50am","Sum of cations","1.420","meq/L"
"M35/1382","20242339","15-Mar 2024 10:50am","Total Coliforms","<1.00","number/100mL"
"M35/1382","20242339","15-Mar 2024 10:50am","Water Temperature (Field)","13.4","C"
"M35/1382","20237620","13-Dec 2023 09:15am","Alkalinity, Total","54.0","g/m3 as CaCO3"
"M35/1382","20237620","13-Dec 2023 09:15am","Bicarbonate","66.000","mg/L  at 25°C"
"M35/1382","20237620","13-Dec 2023 09:15am","Calcium, Dissolved","14.700","mg/L"
"M35/1382","20237620","13-Dec 2023 09:15am","Chloride","4.800","mg/L"
"M35/1382","20237620","13-Dec 2023 09:15am","Conductivity","13.1","mS/m"
"M35/1382","20237620","13-Dec 2023 09:15am","Conductivity (Field)","12.56","mS/m"
"M35/1382","20237620","13-Dec 2023 09:15am","Difference in Ion Balance","4.500","%"
"M35/1382","20237620","13-Dec 2023 09:15am","Dissolved Oxygen","6.530","mg/L"
"M35/1382","20237620","13-Dec 2023 09:15am","Dissolved Oxygen Saturation","63.700","%"
"M35/1382","20237620","13-Dec 2023 09:15am","E. coli","<1","MPN/100mL"
"M35/1382","20237620","13-Dec 2023 09:15am","Hardness, Total","50.000","g/m3 as CaCO3"
"M35/1382","20237620","13-Dec 2023 09:15am","Magnesium, Dissolved","3.300","mg/L"
"M35/1382","20237620","13-Dec 2023 09:15am","Nitrate Nitrogen","0.290","mg/L"
"M35/1382","20237620","13-Dec 2023 09:15am","Oxidation Reduction Potential","335.800","mV"
