Site ID,M35/4875
Site Name,Missing Name
Site ID,SampleID,Collection Date,Measurement,Value,Units
"M35/4875","20242970","09-Apr 2024 10:15am","Alkalinity, Total","43.0","g/m3 as CaCO3"
"M35/4875","20242970","09-Apr 2024 10:15am","Bicarbonate","52.000","mg/L  at 25°C"
"M35/4875","20242970","09-Apr 2024 10:15am","Calcium, Dissolved","14.000","mg/L"
"M35/4875","20242970","09-Apr 2024 10:15am","Chloride","2.500","mg/L"
"M35/4875","20242970","09-Apr 2024 10:15am","Conductivity","10.4","mS/m"
"M35/4875","20242970","09-Apr 2024 10:15am","Conductivity (Field)","10.21","mS/m"
"M35/4875","20242970","09-Apr 2024 10:15am","Difference in Ion Balance","0.130","%"
"M35/4875","20242970","09-Apr 2024 10:15am","Dissolved Oxygen","5.380","mg/L"
"M35/4875","20242970","09-Apr 2024 10:15am","Dissolved Oxygen Saturation","51.400","%"
"M35/4875","20242970","09-Apr 2024 10:15am","E. coli","<1","MPN/100mL"
"M35/4875","20242970","09-Apr 2024 10:15am","Hardness, Total","42.000","g/m3 as CaCO3"
"M35/4875","20242970","09-Apr 2024 10:15am","Magnesium, Dissolved","1.610","mg/L"
"M35/4875","20242970","09-Apr 2024 10:15am","Nitrate Nitrogen","0.340","mg/L"
"M35/4875","20242970","09-Apr 2024 10:15am","Oxidation Reduction Potential","144.300","mV"
"M35/4875","20242970","09-Apr 2024 10:15am","pH","7.2",""
"M35/4875","20242970","09-Apr 2024 10:15am","pH (Field)","6.34",""
"M35/4875","20242970","09-Apr 2024 10:15am","Potassium, Dissolved","0.810","mg/L"
"M35/4875","20242970","09-Apr 2024 10:15am","Silica, Reactive","11.700","mg/L  as SiO2"
"M35/4875","20242970","09-Apr 2024 10:15am","Sodium, Dissolved","4.300","mg/L"
"M35/4875","20242970","09-Apr 2024 10:15am","Sulphate","4.900","mg/L"
"M35/4875","20242970","09-Apr 2024 10:15am","Sum of anions","1.050","meq/L"
"M35/4875","20242970","09-Apr 2024 10:15am","Sum of cations","1.040","meq/L"
"M35/4875","20242970","09-Apr 2024 10:15am","Total Coliforms","63.0","number/100mL"
"M35/4875","20242970","09-Apr 2024 10:15am","Water Temperature (Field)","13.5","C"
"M35/4875","20240778","25-Jan 2024 08:20am","Alkalinity, Total","41.0","g/m3 as CaCO3"
"M35/4875","20240778","25-Jan 2024 08:20am","Bicarbonate","50.000","mg/L  at 25°C"
"M35/4875","20240778","25-Jan 2024 08:20am","Calcium, Dissolved","14.800","mg/L"
"M35/4875","20240778","25-Jan 2024 08:20am","Chloride","2.300","mg/L"
"M35/4875","20240778","25-Jan 2024 08:20am","Conductivity","10.2","mS/m"
