Site ID,M35/7281
Site Name,M35/7281
Site ID,SampleID,Collection Date,Measurement,Value,Units
"M35/7281","20242971","09-Apr 2024 10:45am","Alkalinity, Total","57.0","g/m3 as CaCO3"
"M35/7281","20242971","09-Apr 2024 10:45am","Bicarbonate","69.000","mg/L  at 25°C"
"M35/7281","20242971","09-Apr 2024 10:45am","Calcium, Dissolved","24.000","mg/L"
"M35/7281","20242971","09-Apr 2024 10:45am","Chloride","10.500","mg/L"
"M35/7281","20242971","09-Apr 2024 10:45am","Conductivity","19.1","mS/m"
"M35/7281","20242971","09-Apr 2024 10:45am","Conductivity (Field)","18.81","mS/m"
"M35/7281","20242971","09-Apr 2024 10:45am","Difference in Ion Balance","0.170","%"
"M35/7281","20242971","09-Apr 2024 10:45am","Dissolved Oxygen","7.490","mg/L"
"M35/7281","20242971","09-Apr 2024 10:45am","Dissolved Oxygen Saturation","71.500","%"
"M35/7281","20242971","09-Apr 2024 10:45am","E. coli","<1","MPN/100mL"
"M35/7281","20242971","09-Apr 2024 10:45am","Hardness, Total","73.000","g/m3 as CaCO3"
"M35/7281","20242971","09-Apr 2024 10:45am","Magnesium, Dissolved","2.900","mg/L"
"M35/7281","20242971","09-Apr 2024 10:45am","Nitrate Nitrogen","3.300","mg/L"
"M35/7281","20242971","09-Apr 2024 10:45am","Oxidation Reduction Potential","216.700","mV"
"M35/7281","20242971","09-Apr 2024 10:45am","pH","7.1",""
"M35/7281","20242971","09-Apr 2024 10:45am","pH (Field)","6.18",""
"M35/7281","20242971","09-Apr 2024 10:45am","Potassium, Dissolved","1.160","mg/L"
"M35/7281","20242971","09-Apr 2024 10:45am","Silica, Reactive","13.700","mg/L  as SiO2"
"M35/7281","20242971","09-Apr 2024 10:45am","Sodium, Dissolved","8.700","mg/L"
"M35/7281","20242971","09-Apr 2024 10:45am","Sulphate","9.600","mg/L"
"M35/7281","20242971","09-Apr 2024 10:45am","Sum of anions","1.870","meq/L"
"M35/7281","20242971","09-Apr 2024 10:45am","Sum of cations","1.860","meq/L"
"M35/7281","20242971","09-Apr 2024 10:45am","Total Coliforms","<1.00","number/100mL"
"M35/7281","20242971","09-Apr 2024 10:45am","Water Temperature (Field)","13.5","C"
"M35/7281","20240779","25-Jan 2024 09:00am","Alkalinity, Total","55.0","g/m3 as CaCO3"
"M35/7281","20240779","25-Jan 2024 09:00am","Bicarbonate","67.000","mg/L  at 25°C"
"M35/7281","20240779","25-Jan 2024 09:00am","Calcium, Dissolved","25.000","mg/L"
"M35/7281","20240779","25-Jan 2024 09:00am","Chloride","9.200","mg/L"
"M35/7281","20240779","25-Jan 2024 09:00am","Conductivity","18.4","mS/m"
"M35/7281","20240779","25-Jan 2024 09:00am","Conductivity (Field)","18.14","mS/m"
"M35/7281","20240779","25-Jan 2024 09:00am","Difference in Ion Balance","4.500","%"
"M35/7281","20240779","25-Jan 2024 09:00am","Dissolved Oxygen","6.180","mg/L"
"M35/7281","20240779","25-Jan 2024 09:00am","Dissolved Oxygen Saturation","58.900","%"
"M35/7281","20240779","25-Jan 2024 09:00am","E. coli","<1","MPN/100mL"
"M35/7281","20240779","25-Jan 2024 09:00am","Hardness, Total","76.000","g/m3 as CaCO3"
"M35/7281","20240779","25-Jan 2024 09:00am","Magnesium, Dissolved","3.100","mg/L"
"M35/7281","20240779","25-Jan 2024 09:00am","Nitrate Nitrogen","3.100","mg/L"
"M35/7281","20240779","25-Jan 2024 09:00am","Oxidation Reduction Potential","324.100","mV"
"M35/7281","20240779","25-Jan 2024 09:00am","pH","7.1",""
"M35/7281","20240779","25-Jan 2024 09:00am","pH (Field)","6.56",""
"M35/7281","20240779","25-Jan 2024 09:00am","Potassium, Dissolved","1.180","mg/L"
"M35/7281","20240779","25-Jan 2024 09:00am","Silica, Reactive","13.500","mg/L  as SiO2"
"M35/7281","20240779","25-Jan 2024 09:00am","Sodium, Dissolved","8.600","mg/L"
"M35/7281","20240779","25-Jan 2024 09:00am","Sulphate","9.000","mg/L"
"M35/7281","20240779","25-Jan 2024 09:00am","Sum of anions","1.760","meq/L"
"M35/7281","20240779","25-Jan 2024 09:00am","Sum of cations","1.930","meq/L"
"M35/7281","20240779","25-Jan 2024 09:00am","Total Coliforms","<1.00","number/100mL"
"M35/7281","20240779","25-Jan 2024 09:00am","Water Temperature (Field)","13.6","C"
"M35/7281","20235821","05-Oct 2023 12:00pm","Alkalinity, Total","56.0","g/m3 as CaCO3"
"M35/7281","20235821","05-Oct 2023 12:00pm","Aluminium, Dissolved","<0.003","mg/L"
"M35/7281","20235821","05-Oct 2023 12:00pm","Ammoniacal Nitrogen","<0.010","mg/L"
"M35/7281","20235821","05-Oct 2023 12:00pm","Bicarbonate","69.000","mg/L  at 25°C"
"M35/7281","20235821","05-Oct 2023 12:00pm","Calcium, Dissolved","24.000","mg/L"
"M35/7281","20235821","05-Oct 2023 12:00pm","Chloride","9.900","mg/L"
"M35/7281","20235821","05-Oct 2023 12:00pm","Conductivity","19.2","mS/m"
"M35/7281","20235821","05-Oct 2023 12:00pm","Conductivity (Field)","18.61","mS/m"
"M35/7281","20235821","05-Oct 2023 12:00pm","Difference in Ion Balance","0.720","%"
"M35/7281","20235821","05-Oct 2023 12:00pm","Dissolved Oxygen","7.290","mg/L"
"M35/7281","20235821","05-Oct 2023 12:00pm","Dissolved Oxygen Saturation","68.800","%"
"M35/7281","20235821","05-Oct 2023 12:00pm","Dissolved Reactive Phosphorus","0.0028","mg/L"
"M35/7281","20235821","05-Oct 2023 12:00pm","E. coli","<1","MPN/100mL"
"M35/7281","20235821","05-Oct 2023 12:00pm","Hardness, Total","72.000","g/m3 as CaCO3"
"M35/7281","20235821","05-Oct 2023 12:00pm","Iron, Dissolved","<0.020","mg/L"
"M35/7281","20235821","05-Oct 2023 12:00pm","Magnesium, Dissolved","2.800","mg/L"
"M35/7281","20235821","05-Oct 2023 12:00pm","Manganese, Dissolved","0.0006","mg/L"
"M35/7281","20235821","05-Oct 2023 12:00pm","Nitrate Nitrogen","2.900","mg/L"
"M35/7281","20235821","05-Oct 2023 12:00pm","Nitrate-N Nitrite-N","2.900","g/m3"
"M35/7281","20235821","05-Oct 2023 12:00pm","Nitrite Nitrogen","<0.002","mg/L"
"M35/7281","20235821","05-Oct 2023 12:00pm","Oxidation Reduction Potential","191.100","mV"
"M35/7281","20235821","05-Oct 2023 12:00pm","pH","7.4",""
"M35/7281","20235821","05-Oct 2023 12:00pm","pH (Field)","6.48",""
"M35/7281","20235821","05-Oct 2023 12:00pm","Potassium, Dissolved","1.140","mg/L"
"M35/7281","20235821","05-Oct 2023 12:00pm","Silica, Reactive","13.600","mg/L  as SiO2"
"M35/7281","20235821","05-Oct 2023 12:00pm","Sodium, Dissolved","7.900","mg/L"
"M35/7281","20235821","05-Oct 2023 12:00pm","Sulphate","11.000","mg/L"
"M35/7281","20235821","05-Oct 2023 12:00pm","Sum of anions","1.840","meq/L"
"M35/7281","20235821","05-Oct 2023 12:00pm","Sum of cations","1.820","meq/L"
"M35/7281","20235821","05-Oct 2023 12:00pm","Total Coliforms","<1.00","number/100mL"
"M35/7281","20235821","05-Oct 2023 12:00pm","Total Dissolved Phosphorus","0.004","mg/L"
"M35/7281","20235821","05-Oct 2023 12:00pm","Water Temperature (Field)","13.4","C"
"M35/7281","20233208","20-Apr 2023 11:50am","Alkalinity, Total","55.0","g/m3 as CaCO3"
"M35/7281","20233208","20-Apr 2023 11:50am","Bicarbonate","67.000","mg/L  at 25°C"
"M35/7281","20233208","20-Apr 2023 11:50am","Calcium, Dissolved","25.000","mg/L"
"M35/7281","20233208","20-Apr 2023 11:50am","Chloride","12.200","mg/L"
"M35/7281","20233208","20-Apr 2023 11:50am","Conductivity","20.2","mS/m"
"M35/7281","20233208","20-Apr 2023 11:50am","Conductivity (Field)","18.95","mS/m"
